loan_amt_requested,mort_due,current_property_value,years_on_job,no_of_derog,no_of_delinq,age_of_oldest_cl,no_of_recent_credit_inquiries,no_of_cl,debt_to_income_ratio,cl_delinquency_ratio,approx_income,combined_ltv_ratio,loan_reason_homeImp,job_mgr,job_office,job_profExe,job_sales,job_self,income_group_high,income_group_lowMed,job_other_nonProvided,loan_reason_debtCon_np
17300,51107.0,64135.0,4.0,0,0,115.002195,0,17,32.25108612,0.0,158465.981,1.0666094955952288,1,0,1,0,0,0,1,0,0,0
50400,53992.0,63772.0,12.0,0,1,98.82239648,2,25,40.42570434,0.04,133558.5882,1.6369566580944614,0,0,1,0,0,0,0,1,0,1
15000,68000.0,96000.0,12.0,0,3,109.5666667,0,24,35.63137756,0.125,190843.0284,0.8645833333333334,0,1,0,0,0,0,1,0,0,1
8200,58536.0,66546.0,1.0,0,2,118.3973584,2,17,34.71164955,0.117647059,168635.0282,1.0028551678538151,0,0,0,0,0,0,1,0,1,1
16400,119879.0,128546.0,16.0,0,0,182.9973812,0,17,40.85088684,0.0,293455.0735,1.0601574533629985,0,0,0,0,0,0,1,0,1,1
31000,118000.0,167000.0,17.0,0,0,127.0333333,1,17,33.37804123,0.0,353525.8381,0.8922155688622755,0,0,0,1,0,0,1,0,0,1
10000,64320.0,102375.0,10.0,0,0,148.1666667,1,13,36.17090549,0.0,177822.4768,0.725958485958486,0,0,1,0,0,0,1,0,0,1
13200,59422.0,88308.0,8.0,0,0,294.7820846,0,19,29.95255446,0.0,198387.0861,0.8223716990533134,1,0,0,0,0,0,1,0,1,0
22600,63363.0,90816.0,3.0,0,0,174.3265608,0,15,38.74248161,0.0,163549.1517,0.946562279774489,0,0,1,0,0,0,1,0,0,1
8800,135899.0,202788.0,1.0,0,0,53.76762152,1,23,35.93202507,0.0,378211.3581,0.7135481389431327,0,0,0,1,0,0,1,0,0,1
27900,62264.0,39604.0,10.0,3,1,118.7782646,7,23,48.07753147,0.043478261,129507.4811,2.276638723361277,0,0,0,0,1,0,0,1,0,1
18000,62216.0,85503.0,3.0,0,0,307.2507013,2,15,41.43939067,0.0,150137.3428,0.9381659123071704,0,0,0,0,0,0,1,0,1,1
18500,65165.0,90805.0,2.0,0,0,160.7322651,0,25,25.37204765,0.0,256837.7646,0.9213699686140632,0,0,1,0,0,0,1,0,0,1
15400,32855.0,69663.0,7.0,0,0,256.2275509,1,16,23.3103728,0.0,140945.8368,0.6926919598639163,0,0,0,1,0,0,0,1,0,1
20400,153958.0,195834.0,9.0,0,0,179.7461144,1,15,31.13462438,0.0,494491.2716,0.8903356924742384,0,0,0,0,0,0,1,0,1,1
27600,74964.0,118507.0,5.0,0,0,91.7112462,1,32,39.14675577,0.0,191494.7958,0.8654678626579021,0,0,0,0,0,0,1,0,1,1
7100,58639.0,72412.0,14.0,0,0,120.0334646,0,20,43.67874666,0.0,134250.647,0.9078467657294372,0,0,0,1,0,0,0,1,0,1
15000,59000.0,86420.0,1.5,0,0,160.3,0,25,36.17090549,0.0,163114.5231,0.8562832677620921,0,0,1,0,0,0,1,0,0,1
10900,86754.0,110000.0,13.0,0,2,103.4333333,0,19,33.37804123,0.105263158,259913.3946,0.8877636363636363,0,0,0,1,0,0,1,0,0,1
13500,65000.0,95614.82001,14.0,0,2,105.5,4,34,33.37804123,0.058823529,194738.8091,0.8210024344739653,0,0,0,1,0,0,1,0,0,1
30000,34535.84154,50000.0,4.0,0,1,118.6666667,1,15,36.17090549,0.066666667,95479.61566,1.2907168308,1,0,1,0,0,0,0,1,0,0
18400,110580.0,137926.0,6.0,0,0,93.43274991,0,13,29.11688772,0.0,379779.601,0.9351391325783392,0,0,0,1,0,0,1,0,0,1
16000,56295.0,77146.0,0.0,0,0,190.3964069,0,24,31.73703429,0.0,177379.5229,0.9371192284758768,0,0,1,0,0,0,1,0,0,1
14300,44043.21311,63319.0,0.0,0,0,0.0,0,0,3.9608595,0.0,1111961.005,0.921417159304474,0,0,0,0,0,0,1,0,1,1
15100,81461.0,93548.0,2.0,0,0,160.1036,0,22,41.00736353,0.0,198649.6887,1.0322080643092315,0,0,0,0,0,0,1,0,1,1
9800,54681.0,74097.0,2.0,0,1,106.8888937,3,18,36.61866086,0.055555556,149325.5043,0.8702241656207403,0,0,0,0,0,0,0,1,1,1
31800,71553.0,111237.0,6.0,0,0,114.1237846,10,20,41.45670798,0.0,172596.9173,0.9291243021656465,1,0,0,0,0,0,1,0,1,0
10400,62442.0,73197.0,8.0,0,0,47.61067763,1,24,38.88482776,0.0,160581.9123,0.9951500744566034,0,0,0,1,0,0,1,0,0,1
24000,239568.0,266430.0,7.0,0,0,243.7324175,3,50,35.87195895,0.0,667841.9775,0.98925796644522,1,0,0,0,0,1,1,0,0,0
28300,137159.0,186153.0,0.0,0,0,112.1728125,0,38,29.87473149,0.0,459113.7498,0.8888333789946979,0,1,0,0,0,0,1,0,0,1
9400,56508.0,78358.0,17.0,0,0,141.9311562,0,11,32.32749505,0.0,174798.5729,0.8411138620179177,0,0,0,0,0,0,1,0,1,1
23800,38582.48839,55669.0,8.0,0,1,308.4251258,0,18,37.65407524,0.055555556,102465.6379,1.1205965328998186,0,0,0,0,0,0,0,1,1,1
10000,86000.0,111000.0,6.5,0,1,91.96666667,3,17,35.24522428,0.058823529,244004.6893,0.8648648648648649,0,0,0,0,0,0,1,0,1,1
7400,72739.0,91425.0,3.5,0,0,128.8333333,0,26,33.37804123,0.0,217924.7113,0.8765545529122232,0,0,0,1,0,0,1,0,0,1
15300,83039.0,99630.0,8.0,1,2,354.4602994,0,42,38.26595101,0.047619048,217004.9295,0.9870420556057412,0,0,0,1,0,0,1,0,0,1
18600,100144.0,153751.0,4.0,0,0,93.66217049,0,16,34.89273362,0.0,287005.3149,0.7723136760086113,1,0,0,1,0,0,1,0,0,0
25000,127491.0,178453.0,1.0,0,0,120.4,0,39,35.63137756,0.0,357805.4196,0.8545163152202541,0,1,0,0,0,0,1,0,0,1
8800,26607.0,39710.0,0.0,0,0,104.6928252,1,30,38.32672821,0.0,69421.52707,0.8916393855452027,1,0,1,0,0,0,0,1,0,0
6200,171582.0,245730.0,4.0,0,0,135.1089303,0,22,39.78381813,0.0,431285.9049,0.7234851259512473,0,0,0,0,1,0,1,0,0,1
18500,90150.0,122767.0,12.0,0,0,135.5729778,0,25,33.46387238,0.0,269395.003,0.8850098153412562,0,0,0,1,0,0,1,0,0,1
12700,58606.0,83010.0,1.0,0,0,125.3258854,3,11,35.99961072,0.0,162796.2048,0.8590049391639561,0,0,0,0,0,0,1,0,1,1
12500,66163.0,83727.0,4.0,1,2,176.9352475,3,30,36.77463995,0.066666667,179914.7458,0.9395177182987566,0,0,1,0,0,0,1,0,0,1
27600,123121.0,157337.0,2.0,0,0,283.2828535,0,24,36.94827386,0.0,333225.3097,0.957950132518098,0,1,0,0,0,0,1,0,0,1
12000,73000.0,94900.0,9.0,3,0,189.7,1,30,33.37804123,0.0,218706.6626,0.8956796628029505,0,0,0,1,0,0,1,0,0,1
36100,36948.0,56236.0,8.0,0,0,0.0,7,0,31.0580187,0.0,118964.4464,1.298954406430045,0,0,0,0,0,0,0,1,1,1
4900,65873.0,90408.0,2.0,0,0,141.858999,0,23,37.76961861,0.0,174407.374,0.7828178922219272,0,1,0,0,0,0,1,0,0,1
12900,89492.0,110007.0,10.0,0,2,169.1919843,0,28,32.82003727,0.071428571,272674.8884,0.930777132364304,1,0,0,1,0,0,1,0,0,0
27600,54328.0,94216.0,24.0,1,2,188.3937419,1,19,26.83331217,0.105263158,202464.756,0.8695762927740511,0,0,0,0,0,0,1,0,1,1
22700,93542.0,99198.0,6.0,0,0,0.0,0,0,30.08034344,0.0,310973.843,1.1718179802012136,1,0,0,0,0,0,1,0,1,0
22600,133264.0,172882.0,6.0,1,0,190.2475602,0,37,19.97395503,0.0,667188.8458,0.901562915746,0,0,0,1,0,0,1,0,0,1
16900,88143.0,115365.0,19.0,0,0,282.0685178,0,16,24.96285137,0.0,353096.6823,0.9105274563342436,0,0,0,0,0,0,1,0,1,1
32500,193409.0,297294.0,30.0,0,0,150.7998535,0,22,40.59278045,0.0,476461.5724,0.7598841550788109,0,0,0,0,0,0,1,0,1,1
